episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
49,1270.0,612,29125,0.2,0.059215091104966165,109.74452625499998,True,False
50,350.0,469,29594,0.2,0.059596095640116774,111.53763341099989,True,False
51,350.0,493,30087,0.2,0.061197957326847366,115.55148828799997,True,False
52,620.0,926,31013,0.2,0.06694342775655718,118.636646488,True,False
53,260.0,414,31427,0.2,0.06656618796524058,120.16544078399988,True,False
54,380.0,445,31872,0.2,0.0676131929004831,122.23821628999985,True,False
55,430.0,524,32396,0.2,0.06892583773023526,124.24892358199986,True,False
56,1600.0,1016,33412,0.2,0.07567101461798187,127.61465728000007,True,False
57,1090.0,621,34033,0.2,0.06367170521689038,129.72490355600007,True,False
58,1010.0,677,34710,0.2,0.06134625871461877,132.03782023400004,True,False
59,450.0,574,35284,0.2,0.05874424276731184,134.43067022399987,True,False
60,1070.0,663,35947,0.2,0.06524487054257681,136.96988326099995,True,False
61,270.0,377,36324,0.2,0.07298592821155724,138.3045715379999,True,False
62,890.0,756,37080,0.2,0.07027072683666591,140.82060489399987,True,False
63,520.0,490,37570,0.2,0.07541040896789217,142.5339213939999,True,False
64,400.0,527,38097,0.2,0.0866884307399618,144.347480915,True,False
65,1430.0,859,38956,0.2,0.07411883546169414,147.81330569400006,True,False
66,440.0,438,39394,0.2,0.07163859095099732,149.4316903419999,True,False
67,810.0,772,40166,0.2,0.07324380163643798,152.00544082199985,True,False
68,420.0,442,40608,0.2,0.07127872988715903,153.56248577999986,True,False
69,300.0,459,41067,0.2,0.07227822595782447,155.16425273200002,True,False
70,520.0,415,41482,0.2,0.07706197827624586,156.583061433,True,False
71,400.0,367,41849,0.2,0.06981077744706493,157.90613412599987,True,False
72,610.0,627,42476,0.2,0.07501379856661816,160.66005774099995,True,False
73,2740.0,778,43254,0.2,0.06886094303552023,163.27821459799998,True,False
74,480.0,423,43677,0.2,0.0715218088062445,164.74031521999996,True,False
75,470.0,510,44187,0.2,0.07908402740456692,166.55796878,True,False
76,410.0,501,44688,0.2,0.07929186119387548,169.9221696479999,True,False
77,710.0,759,45447,0.2,0.08169960542015298,173.10217114800002,True,False
78,740.0,765,46212,0.2,0.08033766571315937,175.70241113899988,True,False
79,820.0,881,47093,0.2,0.08447378324344754,178.61663151800008,True,False
80,490.0,558,47651,0.2,0.07370492819656464,180.54854391999993,True,False
81,290.0,468,48119,0.2,0.07190445911648691,182.187748457,True,False
82,310.0,405,48524,0.2,0.07866692650771025,183.803776899,True,False
83,350.0,412,48936,0.2,0.0689612760217589,185.73088270499989,True,False
84,480.0,473,49409,0.2,0.07900099620475608,187.39744809500007,True,False
85,130.0,330,49739,0.2,0.07289160888006048,188.57459559799986,True,False
86,810.0,765,50504,0.2,0.07867334489128552,191.15962126699992,True,False
87,350.0,454,50958,0.2,0.07736162560274906,192.72433879300002,True,False
88,360.0,527,51485,0.2,0.07406092680652034,194.54786371399996,True,False
89,920.0,763,52248,0.2,0.08713813858467559,197.5662328599999,True,False
90,350.0,367,52615,0.2,0.08979686582972715,199.149645362,True,False
91,620.0,654,53269,0.2,0.08764470479928138,201.36384272300006,True,False
92,670.0,727,53996,0.2,0.09048066002183727,203.7900647659999,True,False
93,340.0,414,54410,0.2,0.08122195965764158,205.2860711809999,True,False
94,450.0,489,54899,0.2,0.08046832295959114,207.00107557699994,True,False
95,260.0,332,55231,0.2,0.08539449580642114,208.16953513199996,True,False
96,490.0,553,55784,0.2,0.09638307470051076,210.73197211299998,True,False
97,740.0,877,56661,0.2,0.09338318690929782,213.70024044000002,True,False
98,330.0,492,57153,0.2,0.07654111683974421,215.393749952,True,False
99,180.0,385,57538,0.2,0.08818274588945012,216.74031032099992,True,False
100,700.0,789,58327,0.2,0.08580947957157635,219.40831235099995,True,False
